Date,Time,Currency,Event,Impact,Actual,Forecast,Previous
2017-01-06,6:00pm,EUR,Retail Sales m/m,Non-economic,-0.4%,-0.3%,1.4%
2017-01-06,9:30pm,CAD,Employment Change,High,53.7K,-5.1K,10.7K
2017-01-06,9:30pm,CAD,Trade Balance,High,0.5B,-1.6B,-1.0B
2017-01-06,9:30pm,CAD,Unemployment Rate,High,6.9%,6.9%,6.8%
2017-01-06,9:30pm,USD,Average Hourly Earnings m/m,High,0.4%,0.3%,-0.1%
2017-01-06,9:30pm,USD,Non-Farm Employment Change,High,156K,175K,204K
2017-01-06,9:30pm,USD,Unemployment Rate,High,4.7%,4.7%,4.6%
2017-01-06,9:30pm,USD,Trade Balance,Medium,-45.2B,-42.2B,-42.4B
2017-01-06,11:00pm,CAD,Ivey PMI,Medium,60.8,56.0,56.8
2017-01-06,11:00pm,USD,Factory Orders m/m,Medium,-2.4%,-2.1%,2.8%
2017-01-07,1:15am,USD,FOMC Member Evans Speaks,Medium,,,
2017-01-09,6:30am,AUD,AIG Construction Index,Non-economic,47.0,,46.6
2017-01-09,All Day,JPY,Bank Holiday,Low,,,
2017-01-09,8:30am,AUD,Building Approvals m/m,Medium,7.0%,4.6%,-11.8%
2017-01-09,8:30am,AUD,ANZ Job Advertisements m/m,Non-economic,-1.9%,,1.6%
2017-01-09,3:00pm,EUR,German Industrial Production m/m,Non-economic,0.4%,0.7%,0.5%
2017-01-09,3:00pm,EUR,German Trade Balance,Non-economic,21.7B,20.8B,20.6B
2017-01-09,4:15pm,CHF,Retail Sales y/y,Non-economic,0.9%,0.4%,-0.7%
2017-01-09,4:30pm,GBP,Halifax HPI m/m,Medium,1.7%,0.3%,0.6%
2017-01-09,5:00pm,EUR,Italian Monthly Unemployment Rate,Non-economic,11.9%,11.6%,11.8%
2017-01-09,5:30pm,EUR,Sentix Investor Confidence,Non-economic,18.2,12.6,10.0
2017-01-09,6:00pm,EUR,Unemployment Rate,Non-economic,9.8%,9.8%,9.8%
2017-01-09,11:00pm,USD,Labor Market Conditions Index m/m,Non-economic,-0.3,,2.1
2017-01-09,11:30pm,CAD,BOC Business Outlook Survey,Medium,,,
2017-01-10,4:00am,USD,Consumer Credit m/m,Non-economic,24.5B,18.3B,16.2B
2017-01-10,8:01am,GBP,BRC Retail Sales Monitor y/y,Non-economic,1.0%,,0.6%
2017-01-10,8:30am,AUD,Retail Sales m/m,High,0.2%,0.4%,0.5%
2017-01-10,9:30am,CNY,CPI y/y,High,2.1%,2.2%,2.3%
2017-01-10,9:30am,CNY,PPI y/y,Medium,5.5%,4.6%,3.3%
2017-01-10,1:00pm,JPY,Consumer Confidence,Non-economic,43.1,41.3,40.9
2017-01-10,2:45pm,CHF,Unemployment Rate,Non-economic,3.3%,3.3%,3.3%
2017-01-10,3:45pm,EUR,French Industrial Production m/m,Non-economic,2.2%,0.5%,-0.1%
2017-01-10,7:00pm,USD,NFIB Small Business Index,Non-economic,105.8,99.6,98.4
2017-01-10,9:13pm,CAD,Housing Starts,Non-economic,207K,187K,187K
2017-01-10,9:30pm,CAD,Building Permits m/m,Medium,-0.1%,2.4%,10.5%
2017-01-10,11:00pm,USD,JOLTS Job Openings,Medium,5.52M,5.59M,5.45M
2017-01-10,11:00pm,USD,Final Wholesale Inventories m/m,Non-economic,1.0%,0.9%,0.9%
2017-01-11,11:45am,JPY,30-y Bond Auction,Non-economic,0.75|3.3,,0.62|2.9
2017-01-11,1:00pm,JPY,Leading Indicators,Non-economic,102.7%,102.6%,100.8%
2017-01-11,5:30pm,GBP,Manufacturing Production m/m,High,1.3%,0.6%,-1.0%
2017-01-11,5:30pm,GBP,Goods Trade Balance,Medium,-12.2B,-11.2B,-9.9B
2017-01-11,5:30pm,GBP,Construction Output m/m,Non-economic,-0.2%,0.3%,-0.6%
2017-01-11,5:30pm,GBP,Industrial Production m/m,Non-economic,2.1%,0.8%,-1.1%
2017-01-11,6:33pm,EUR,German 10-y Bond Auction,Non-economic,0.36|1.8,,0.21|2.0
2017-01-11,10:15pm,GBP,BOE Gov Carney Speaks,High,,,
2017-01-11,10:38pm,GBP,NIESR GDP Estimate,Non-economic,0.5%,,0.5%
2017-01-11,11:00pm,USD,RCM/TIPP Economic Optimism,Non-economic,55.6,53.9,54.8
2017-01-11,11:30pm,USD,Crude Oil Inventories,High,4.1M,0.9M,-7.1M
2017-01-12,12:00am,USD,President Trump Speaks,High,,,
2017-01-12,2:01am,USD,10-y Bond Auction,Non-economic,2.34|2.6,,2.49|2.4
2017-01-12,2:20am,USD,FOMC Member Dudley Speaks,Medium,,,
2017-01-12,7:50am,JPY,Bank Lending y/y,Non-economic,2.6%,2.4%,2.4%
2017-01-12,7:50am,JPY,Current Account,Non-economic,1.80T,1.48T,1.93T
2017-01-12,8:00am,NZD,ANZ Commodity Prices m/m,Non-economic,0.7%,,3.2%
2017-01-12,1:00pm,JPY,Economy Watchers Sentiment,Non-economic,51.4,49.3,48.6
2017-01-12,3:45pm,EUR,French Final CPI m/m,Non-economic,0.3%,0.3%,0.3%
2017-01-12,5:00pm,CNY,M2 Money Supply y/y,Non-economic,11.3%,11.4%,11.4%
2017-01-12,5:00pm,CNY,New Loans,Non-economic,1040B,676B,795B
2017-01-12,5:00pm,EUR,Italian Industrial Production m/m,Non-economic,0.7%,0.2%,0.1%
2017-01-12,6:00pm,EUR,Industrial Production m/m,Non-economic,1.5%,0.5%,0.1%
2017-01-12,6:34pm,GBP,10-y Bond Auction,Non-economic,1.16|2.5,,1.39|2.0
2017-01-12,8:30pm,EUR,ECB Monetary Policy Meeting Accounts,Medium,,,
2017-01-12,9:30pm,CAD,NHPI m/m,Medium,0.2%,0.3%,0.4%
2017-01-12,9:30pm,USD,Unemployment Claims,High,247K,266K,237K
2017-01-12,9:30pm,USD,FOMC Member Evans Speaks,Medium,,,
2017-01-12,9:30pm,USD,FOMC Member Harker Speaks,Medium,,,
2017-01-12,9:30pm,USD,Import Prices m/m,Medium,0.4%,0.8%,-0.2%
2017-01-12,11:30pm,USD,Natural Gas Storage,Non-economic,-151B,-150B,-49B
2017-01-13,2:01am,USD,30-y Bond Auction,Non-economic,2.91|2.3,,3.15|2.4
2017-01-13,3:00am,USD,Federal Budget Balance,Non-economic,-27.5B,-21.0B,-136.7B
2017-01-13,7:50am,JPY,M2 Money Stock y/y,Non-economic,4.0%,4.1%,3.9%
2017-01-13,8:00am,USD,Fed Chair Yellen Speaks,High,,,
2017-01-13,10:47am,CNY,USD-Denominated Trade Balance,Non-economic,40.8B,47.6B,44.6B
2017-01-13,10:50am,CNY,Trade Balance,High,275B,345B,298B
2017-01-13,3:00pm,EUR,German WPI m/m,Non-economic,1.2%,0.3%,0.1%
2017-01-13,5:30pm,GBP,BOE Credit Conditions Survey,Medium,,,
2017-01-13,5:30pm,GBP,MPC Member Saunders Speaks,Medium,,,
2017-01-13,7:12pm,CNY,Foreign Direct Investment ytd/y,Non-economic,4.1%,,3.9%
2017-01-13,9:30pm,USD,Core Retail Sales m/m,High,0.2%,0.5%,0.3%
2017-01-13,9:30pm,USD,PPI m/m,High,0.3%,0.1%,0.4%
2017-01-13,9:30pm,USD,Retail Sales m/m,High,0.6%,0.5%,0.2%
2017-01-13,9:30pm,USD,Core PPI m/m,Medium,0.2%,0.3%,0.4%
2017-01-13,10:30pm,USD,FOMC Member Harker Speaks,Medium,,,
2017-01-13,11:00pm,USD,Prelim UoM Consumer Sentiment,High,98.1,98.6,98.2
2017-01-13,11:00pm,USD,Business Inventories m/m,Non-economic,0.7%,0.3%,-0.1%
2017-01-13,11:00pm,USD,Prelim UoM Inflation Expectations,Non-economic,2.6%,,2.2%
2017-01-16,5:45am,NZD,FPI m/m,Non-economic,-0.8%,,-0.1%
2017-01-16,7:50am,JPY,Core Machinery Orders m/m,Non-economic,-5.1%,-1.3%,4.1%
2017-01-16,7:50am,JPY,PPI y/y,Non-economic,-1.2%,-1.4%,-2.2%
2017-01-16,8:00am,AUD,MI Inflation Gauge m/m,Non-economic,0.5%,,0.1%
2017-01-16,8:01am,GBP,Rightmove HPI m/m,Non-economic,0.4%,,-2.1%
2017-01-16,12:30pm,JPY,Tertiary Industry Activity m/m,Non-economic,0.2%,0.2%,0.0%
2017-01-16,1:59pm,JPY,Prelim Machine Tool Orders y/y,Non-economic,4.4%,,-5.6%
2017-01-16,6:00pm,EUR,Trade Balance,Non-economic,22.7B,23.2B,19.9B
2017-01-16,All Day,USD,Bank Holiday,Low,,,
2017-01-17,2:30am,GBP,BOE Gov Carney Speaks,High,,,
2017-01-17,5:00am,NZD,NZIER Business Confidence,Medium,28,,26
2017-01-17,8:30am,AUD,Home Loans m/m,Non-economic,0.9%,0.1%,-0.6%
2017-01-17,8:30am,AUD,New Motor Vehicle Sales m/m,Non-economic,0.3%,,-0.7%
2017-01-17,12:30pm,JPY,Revised Industrial Production m/m,Non-economic,1.5%,1.5%,1.5%
2017-01-17,5:00pm,EUR,Italian Trade Balance,Non-economic,4.20B,3.84B,4.29B
2017-01-17,Day 1,All,WEF Annual Meetings,Medium,,,
2017-01-17,5:30pm,GBP,CPI y/y,High,1.6%,1.4%,1.2%
2017-01-17,5:30pm,GBP,PPI Input m/m,Medium,1.8%,2.2%,-0.6%
2017-01-17,5:30pm,GBP,RPI y/y,Medium,2.5%,2.3%,2.2%
2017-01-17,5:30pm,GBP,Core CPI y/y,Non-economic,1.6%,1.4%,1.4%
2017-01-17,5:30pm,GBP,HPI y/y,Non-economic,6.7%,6.3%,6.4%
2017-01-17,5:30pm,GBP,PPI Output m/m,Non-economic,0.1%,0.3%,0.1%
2017-01-17,6:00pm,EUR,German ZEW Economic Sentiment,Medium,16.6,18.9,13.8
2017-01-17,6:00pm,EUR,ZEW Economic Sentiment,Non-economic,23.2,24.2,18.1
2017-01-17,6:36pm,EUR,French Gov Budget Balance,Non-economic,-93.3B,,-85.5B
2017-01-17,7:45pm,GBP,Prime Minister May Speaks,High,,,
2017-01-17,9:30pm,USD,Empire State Manufacturing Index,Medium,6.5,8.1,9.0
2017-01-17,9:45pm,USD,FOMC Member Dudley Speaks,Medium,,,
2017-01-17,9:47pm,NZD,GDT Price Index,High,0.6%,,-3.9%
2017-01-17,10:30pm,GBP,CB Leading Index m/m,Non-economic,0.0%,,0.1%
2017-01-17,11:00pm,USD,Treasury Sec Lew Speaks,High,,,
2017-01-17,11:00pm,USD,FOMC Member Brainard Speaks,Medium,,,
2017-01-18,7:30am,AUD,Westpac Consumer Sentiment,Non-economic,0.1%,,-3.9%
2017-01-18,3:00pm,EUR,German Final CPI m/m,Non-economic,0.7%,0.7%,0.7%
2017-01-18,Day 2,All,WEF Annual Meetings,Medium,,,
2017-01-18,5:30pm,GBP,Average Earnings Index 3m/y,High,2.8%,2.6%,2.6%
2017-01-18,5:30pm,GBP,Claimant Count Change,High,-10.1K,4.6K,1.3K
2017-01-18,5:30pm,GBP,Unemployment Rate,Medium,4.8%,4.8%,4.8%
2017-01-18,6:00pm,EUR,Final CPI y/y,Medium,1.1%,1.1%,1.1%
2017-01-18,6:00pm,EUR,Final Core CPI y/y,Non-economic,0.9%,0.9%,0.9%
2017-01-18,9:30pm,USD,Core CPI m/m,High,0.2%,0.2%,0.2%
2017-01-18,9:30pm,USD,CPI m/m,High,0.3%,0.3%,0.2%
2017-01-18,9:30pm,USD,CPI y/y,High,2.1%,2.1%,1.7%
2017-01-18,10:15pm,USD,Capacity Utilization Rate,Medium,75.5%,75.6%,74.9%
2017-01-18,10:15pm,USD,Industrial Production m/m,Medium,0.8%,0.8%,-0.7%
2017-01-18,11:00pm,CAD,BOC Monetary Policy Report,High,,,
2017-01-18,11:00pm,CAD,BOC Rate Statement,High,,,
2017-01-18,11:00pm,CAD,Overnight Rate,High,0.50%,0.50%,0.50%
2017-01-18,11:00pm,USD,NAHB Housing Market Index,Non-economic,67,69,69
2017-01-19,12:00am,USD,FOMC Member Kashkari Speaks,Medium,,,
2017-01-19,12:15am,CAD,BOC Press Conference,High,,,
2017-01-19,3:00am,USD,Beige Book,Non-economic,,,
2017-01-19,4:00am,USD,Fed Chair Yellen Speaks,High,,,
2017-01-19,5:00am,USD,TIC Long-Term Purchases,Non-economic,30.8B,21.3B,9.3B
2017-01-19,5:30am,NZD,BusinessNZ Manufacturing Index,Non-economic,54.5,,54.5
2017-01-19,5:45am,NZD,Building Consents m/m,Non-economic,-9.2%,,2.0%
2017-01-19,8:00am,AUD,MI Inflation Expectations,Non-economic,4.3%,,3.4%
2017-01-19,8:01am,GBP,RICS House Price Balance,Non-economic,24%,32%,29%
2017-01-19,8:30am,AUD,Employment Change,High,13.5K,10.2K,37.1K
2017-01-19,8:30am,AUD,Unemployment Rate,High,5.8%,5.7%,5.7%
2017-01-19,4:15pm,CHF,PPI m/m,Medium,0.2%,0.2%,0.1%
2017-01-19,5:00pm,EUR,Current Account,Non-economic,36.1B,29.3B,28.3B
2017-01-19,Day 3,All,WEF Annual Meetings,Medium,,,
2017-01-19,8:45pm,EUR,Main Refinancing Rate,High,0.00%,0.00%,0.00%
2017-01-19,8:45pm,EUR,Monetary Policy Statement,High,,,
2017-01-19,9:30pm,CAD,Manufacturing Sales m/m,High,1.5%,0.2%,-0.6%
2017-01-19,9:30pm,CAD,Foreign Securities Purchases,Medium,7.24B,10.23B,15.77B
2017-01-19,9:30pm,EUR,ECB Press Conference,High,,,
2017-01-19,9:30pm,USD,Building Permits,High,1.21M,1.22M,1.21M
2017-01-19,9:30pm,USD,Philly Fed Manufacturing Index,High,23.6,16.3,21.5
2017-01-19,9:30pm,USD,Unemployment Claims,High,234K,252K,249K
2017-01-19,9:30pm,USD,Housing Starts,Medium,1.23M,1.19M,1.10M
2017-01-19,11:30pm,USD,Natural Gas Storage,Non-economic,-243B,-235B,-151B
2017-01-20,12:00am,USD,Crude Oil Inventories,High,2.3M,0.1M,4.1M
2017-01-20,8:00am,AUD,HIA New Home Sales m/m,Non-economic,6.1%,,-8.5%
2017-01-20,9:00am,USD,Fed Chair Yellen Speaks,High,,,
2017-01-20,10:00am,CNY,GDP q/y,High,6.8%,6.7%,6.7%
2017-01-20,10:00am,CNY,Industrial Production y/y,High,6.0%,6.1%,6.2%
2017-01-20,10:00am,CNY,Fixed Asset Investment ytd/y,Medium,8.1%,8.3%,8.3%
2017-01-20,10:00am,CNY,NBS Press Conference,Medium,,,
2017-01-20,10:00am,CNY,Retail Sales y/y,Non-economic,10.9%,10.7%,10.8%
2017-01-20,3:00pm,EUR,German PPI m/m,Non-economic,0.4%,0.4%,0.3%
2017-01-20,Day 4,All,WEF Annual Meetings,Medium,,,
2017-01-20,5:30pm,GBP,Retail Sales m/m,High,-1.9%,-0.1%,-0.1%
2017-01-20,9:30pm,CAD,Core Retail Sales m/m,High,0.1%,0.1%,1.4%
2017-01-20,9:30pm,CAD,CPI m/m,High,-0.2%,0.0%,-0.4%
2017-01-20,9:30pm,CAD,Common CPI y/y,Medium,1.4%,,1.3%
2017-01-20,9:30pm,CAD,Median CPI y/y,Medium,2.0%,,2.0%
2017-01-20,9:30pm,CAD,Retail Sales m/m,Medium,0.2%,0.5%,1.2%
2017-01-20,9:30pm,CAD,Trimmed CPI y/y,Medium,1.6%,,1.6%
2017-01-20,9:32pm,CAD,Core CPI m/m,Non-economic,-0.3%,0.2%,-0.5%
2017-01-20,10:00pm,USD,FOMC Member Harker Speaks,Medium,,,
2017-01-21,1:00am,USD,President Trump Speaks,High,,,
2017-01-22,5:15pm,All,OPEC-JMMC Meetings,Medium,,,
2017-01-23,12:30pm,JPY,All Industries Activity m/m,Non-economic,0.3%,0.4%,0.0%
2017-01-23,7:00pm,EUR,German Buba Monthly Report,Non-economic,,,
2017-01-23,7:30pm,EUR,ECB President Draghi Speaks,High,,,
2017-01-23,9:30pm,CAD,Wholesale Sales m/m,Medium,0.2%,0.3%,1.3%
2017-01-23,10:00pm,CNY,CB Leading Index m/m,Non-economic,0.8%,,1.3%
2017-01-23,11:00pm,EUR,Consumer Confidence,Non-economic,-5,-5,-5
2017-01-24,5:30am,NZD,BusinessNZ Services Index,Non-economic,58.4,,58.4
2017-01-24,8:30am,JPY,Flash Manufacturing PMI,Non-economic,52.8,52.3,52.4
2017-01-24,4:00pm,EUR,French Flash Manufacturing PMI,Medium,53.4,53.4,53.5
2017-01-24,4:00pm,EUR,French Flash Services PMI,Medium,53.9,53.2,52.9
2017-01-24,4:30pm,EUR,German Flash Manufacturing PMI,Medium,56.5,55.5,55.6
2017-01-24,4:30pm,EUR,German Flash Services PMI,Medium,53.2,54.6,54.3
2017-01-24,5:00pm,EUR,Flash Manufacturing PMI,Medium,55.1,54.8,54.9
2017-01-24,5:00pm,EUR,Flash Services PMI,Medium,53.6,53.9,53.7
2017-01-24,5:30pm,GBP,EU Membership Court Ruling,High,,,
2017-01-24,5:30pm,GBP,Public Sector Net Borrowing,Medium,6.4B,6.7B,10.8B
2017-01-24,10:45pm,USD,Flash Manufacturing PMI,Non-economic,55.1,54.6,54.3
2017-01-24,11:00pm,USD,Existing Home Sales,Medium,5.49M,5.54M,5.65M
2017-01-24,11:00pm,USD,Richmond Manufacturing Index,Non-economic,12,7,8
2017-01-24,11:30pm,AUD,CB Leading Index m/m,Non-economic,0.5%,,-0.4%
2017-01-25,7:30am,AUD,MI Leading Index m/m,Non-economic,0.4%,,0.0%
2017-01-25,7:50am,JPY,Trade Balance,Non-economic,0.36T,0.22T,0.47T
2017-01-25,8:30am,AUD,CPI q/q,High,0.5%,0.7%,0.7%
2017-01-25,8:30am,AUD,Trimmed Mean CPI q/q,High,0.4%,0.5%,0.4%
2017-01-25,10:00am,NZD,Credit Card Spending y/y,Non-economic,8.5%,,4.1%
2017-01-25,3:00pm,CHF,UBS Consumption Indicator,Non-economic,1.50,,1.45
2017-01-25,5:00pm,CHF,UBS Economic Expectations,Non-economic,18.5,,12.9
2017-01-25,5:00pm,EUR,German ifo Business Climate,High,109.8,111.3,111.0
2017-01-25,6:33pm,EUR,German 30-y Bond Auction,Non-economic,1.20|1.4,,0.64|1.7
2017-01-25,7:00pm,GBP,CBI Industrial Order Expectations,Non-economic,5,2,0
2017-01-25,9:59pm,EUR,Belgian NBB Business Climate,Non-economic,0.5,0.4,-0.2
2017-01-25,10:00pm,USD,HPI m/m,Non-economic,0.5%,0.4%,0.3%
2017-01-25,11:30pm,USD,Crude Oil Inventories,High,2.8M,1.5M,2.3M
2017-01-26,12:50am,GBP,BOE Gov Carney Speaks,High,,,
2017-01-26,All Day,AUD,Bank Holiday,Low,,,
2017-01-26,5:45am,NZD,CPI q/q,High,0.4%,0.3%,0.3%
2017-01-26,7:50am,JPY,SPPI y/y,Non-economic,0.4%,0.4%,0.3%
2017-01-26,3:00pm,CHF,Trade Balance,Non-economic,2.72B,2.81B,3.50B
2017-01-26,3:00pm,EUR,German GfK Consumer Climate,Non-economic,10.2,10.0,9.9
2017-01-26,4:00pm,EUR,Spanish Unemployment Rate,Medium,18.6%,18.9%,18.9%
2017-01-26,4:30pm,EUR,German Buba President Weidmann Speaks,Medium,,,
2017-01-26,5:00pm,EUR,Italian Retail Sales m/m,Non-economic,-0.7%,0.1%,1.2%
2017-01-26,5:30pm,GBP,Prelim GDP q/q,High,0.6%,0.5%,0.6%
2017-01-26,5:30pm,GBP,High Street Lending,Non-economic,43.2K,41.1K,41.0K
2017-01-26,5:30pm,GBP,Index of Services 3m/3m,Non-economic,1.0%,0.9%,1.1%
2017-01-26,All Day,EUR,Eurogroup Meetings,High,,,
2017-01-26,7:00pm,GBP,CBI Realized Sales,Non-economic,-8,28,35
2017-01-26,9:30pm,USD,Unemployment Claims,High,259K,247K,237K
2017-01-26,9:30pm,USD,Goods Trade Balance,Non-economic,-65.0B,-64.5B,-66.6B
2017-01-26,9:30pm,USD,Prelim Wholesale Inventories m/m,Non-economic,1.0%,0.9%,1.0%
2017-01-26,10:45pm,USD,Flash Services PMI,Non-economic,55.1,54.4,53.9
2017-01-26,11:00pm,USD,New Home Sales,Medium,536K,585K,598K
2017-01-26,11:00pm,USD,CB Leading Index m/m,Non-economic,0.5%,0.5%,0.1%
2017-01-26,11:30pm,USD,Natural Gas Storage,Non-economic,-119B,-121B,-243B
2017-01-27,7:30am,JPY,Tokyo Core CPI y/y,Medium,-0.3%,-0.4%,-0.6%
2017-01-27,7:30am,JPY,National Core CPI y/y,Non-economic,-0.2%,-0.3%,-0.4%
2017-01-27,All Day,CNY,Bank Holiday,Low,,,
2017-01-27,8:30am,AUD,Import Prices q/q,Non-economic,0.2%,0.4%,-1.0%
2017-01-27,8:30am,AUD,PPI q/q,Non-economic,0.5%,0.2%,0.3%
2017-01-27,1:00pm,JPY,BOJ Core CPI y/y,Non-economic,0.1%,0.1%,0.2%
2017-01-27,3:00pm,EUR,German Import Prices m/m,Non-economic,1.9%,1.3%,0.7%
2017-01-27,5:00pm,EUR,M3 Money Supply y/y,Medium,5.0%,4.9%,4.8%
2017-01-27,5:00pm,EUR,Private Loans y/y,Non-economic,2.0%,2.0%,1.9%
2017-01-27,All Day,EUR,ECOFIN Meetings,Medium,,,
